,AE_latent_0,AE_latent_1,AE_latent_2,AE_latent_3,AE_latent_4,AE_latent_5,AE_latent_6,AE_latent_7,AE_latent_8,AE_latent_9,AE_latent_10,AE_latent_11,AE_latent_12,AE_latent_13,AE_latent_14,AE_latent_15,AE_latent_16,AE_latent_17,AE_latent_18,AE_latent_19,AE_latent_20,AE_latent_21,AE_latent_22,AE_latent_23,AE_latent_24,AE_latent_25,AE_latent_26,AE_latent_27,AE_latent_28,AE_latent_29,AE_latent_30,AE_latent_31,AE_latent_32,AE_latent_33,AE_latent_34,AE_latent_35,AE_latent_36,AE_latent_37,AE_latent_38,AE_latent_39,AE_latent_40,AE_latent_41,AE_latent_42,AE_latent_43,AE_latent_44,AE_latent_45,AE_latent_46,AE_latent_47,AE_latent_48,AE_latent_49,AE_latent_50,AE_latent_51,AE_latent_52,AE_latent_53,AE_latent_54,AE_latent_55,AE_latent_56,AE_latent_57,AE_latent_58,AE_latent_59,AE_latent_60,AE_latent_61,AE_latent_62,AE_latent_63,AE_latent_64,AE_latent_65,AE_latent_66,AE_latent_67,AE_latent_68,AE_latent_69,AE_latent_70,AE_latent_71,AE_latent_72,AE_latent_73,AE_latent_74,AE_latent_75,AE_latent_76,AE_latent_77,AE_latent_78,AE_latent_79,AE_latent_80,AE_latent_81,AE_latent_82,AE_latent_83,AE_latent_84,AE_latent_85,AE_latent_86,AE_latent_87
ACH-000493,11.278481,3.9493093,-12.909666,-10.2576275,-5.0236964,-5.927639,4.0628123,-9.274377,3.339877,2.0438664,1.0724671,1.9000434,-5.02364,4.2598195,-0.728963,0.93759394,-1.1624048,0.4255934,1.5717136,0.73708063,-2.0844386,-1.5225455,3.2962878,-4.86447,-2.9185178,0.33578917,-8.569231,2.3206732,2.222533,0.13488242,-2.9167345,-1.2536472,-4.559623,0.42129108,-1.2446855,-0.27925253,-0.3012114,-5.7356725,-1.2396505,4.178362,11.095671,-3.7916412,4.787138,2.592903,-1.4570414,0.34787557,-3.8987627,3.5392334,-0.35396886,-1.1926515,-1.4990518,-3.5463972,0.89962584,0.7504615,-1.4194518,-1.0496799,2.2630622,2.4404678,-1.7696589,-1.0406435,-0.7001042,-5.3004875,-1.2996773,1.3999279,1.3458048,2.829945,5.0859284,-5.829135,-1.3041446,4.7683196,-2.22259,4.8324637,-2.0074143,-2.9332128,-1.2112658,1.8611307,1.7519243,-3.3084247,1.1465398,-0.84141874,-1.1712403,-3.2818923,3.4438598,0.921815,-0.36520466,-1.5138805,1.052952,-1.7713075
ACH-000042,1.8496822,2.0297298,-2.9817815,4.795932,-4.864565,0.39266762,2.2163641,-1.2088547,2.2279637,-2.0817218,0.85632306,-0.3696529,3.1189413,1.99954,3.045481,0.56311774,-3.3968227,1.7760283,-0.98651105,3.243318,-2.0118315,0.079419754,0.43720677,-2.1515453,-4.464359,-0.19853742,-3.0180984,0.0033701104,-0.79997,0.37900874,0.6773631,-0.3044848,-2.406033,1.264283,0.50141174,-0.17782171,2.8204808,-2.2738566,-2.8639824,2.388933,-1.9137592,3.1163046,-1.9306114,2.8264325,-0.4310616,0.32146594,-0.5681184,-2.1038778,-0.7747594,0.7799647,-0.7657121,-1.1419894,4.66681,5.342868,-5.672067,-0.5280925,1.9613644,-1.3790665,2.197567,2.5515912,-2.3787787,-2.6744137,-1.1195613,-1.4425594,0.72364163,2.2368953,1.5842122,-1.4277627,0.98475707,6.5452495,-2.428369,-6.057246,-1.561177,-1.7367047,-2.3459406,-0.84397215,0.019079,-3.940858,-5.157054,1.323901,-1.2366595,1.7253112,3.366485,1.7349014,-0.100947425,0.15217829,8.336748,1.475389
ACH-002045,9.126225,2.8476505,-7.682329,-10.138216,1.4301282,-0.34669408,0.10034531,-2.2309487,-0.6195071,-1.9945465,-0.1830284,-1.9855632,0.099781916,-0.0358975,5.3540077,2.179922,-2.2860508,-1.1241175,4.5928183,-4.7954364,0.22727749,1.179024,2.9951665,4.4581184,-1.020111,0.4346667,0.2135188,1.7121058,2.362103,-0.42033964,-9.1804285,0.43513602,4.069933,1.1562649,-4.0592046,-2.0551465,5.1109433,1.0714213,1.006808,-1.1563047,-1.2005664,-1.3563111,0.46459943,1.6848184,-1.113944,10.72978,-1.416374,0.41302645,1.6475397,-1.7445816,3.0602708,3.0152135,-1.0894287,3.0155268,4.038191,-0.20181446,-0.48024556,-3.5631778,3.171239,-3.6938353,0.52324325,-2.2347414,-0.72263145,-3.102224,-3.498801,-3.0484774,-0.83023494,0.21144706,4.20723,-3.5484273,-0.019980308,-0.3282923,-2.1261444,-0.26676047,0.9227646,0.25644305,-2.0038989,-2.0315433,-0.255158,-2.1169035,0.26190758,-4.0462875,1.2788262,3.1243677,4.170027,-0.27355844,3.3692732,-2.5813146
ACH-000221,11.113227,4.6204023,-16.971088,-13.657073,-6.8857784,-7.020238,3.8108509,-10.099052,0.37632048,0.039303206,-5.626912,-4.787547,0.36997908,-1.1329187,1.9452271,1.7305632,2.5208735,-3.8088915,-0.74943364,0.5070968,1.826364,3.59419,2.6862695,0.2879208,-0.89362323,1.7550277,-3.8084881,3.0459166,6.741382,-2.37911,1.7652476,-3.1169002,1.2249806,-2.7659886,-3.53977,0.5143381,-1.5170293,-1.4089179,-1.4827231,-4.3254576,-0.09592563,-4.1928477,3.4546692,-1.9398712,-4.6622148,0.5881216,0.9176858,0.6149837,-0.9516482,3.485693,2.7169843,7.0508204,2.8572836,-3.5136936,2.0158505,-0.56030697,-1.4101204,0.34803125,-0.5549398,4.5814667,0.31259093,-3.939915,-0.30717903,0.25641292,3.8385623,0.98438305,-3.4586349,1.6765776,-5.415723,-7.427362,9.06364,4.7648416,-1.7944043,-2.4253693,-1.3680923,0.45486063,-0.5166561,-1.127754,0.31776133,-0.21047881,3.3214629,-5.057706,-0.7573428,-1.2626309,-2.4939055,-0.38386524,-3.8138008,-0.8470455
ACH-000356,7.049604,2.1590161,-11.677946,2.3967957,-8.849814,0.27590343,-2.8292503,3.0626297,7.937194,0.029134564,-2.2245774,-3.8430243,-0.3126104,0.9307566,-1.3684875,1.6132245,-4.8406367,-4.2906384,-4.736079,-0.31282297,0.73384464,2.984515,-3.1343439,-2.362351,1.3747337,0.14458504,-0.023156758,0.7511618,-1.6706611,1.4096024,-0.9793423,-3.1163163,1.8325998,1.861937,-0.19137697,0.31964055,5.295535,3.7070184,1.1840149,-3.3744004,0.1411171,1.3127881,-3.8021393,1.181565,0.7002639,3.254736,0.10854027,-1.6008344,0.23179999,0.44272313,-0.19275033,3.1569426,4.6541014,2.2134311,-5.205133,-0.546056,0.2569398,-1.6859742,1.9403929,0.82565,-1.0412855,0.5713328,-2.4192207,-0.7048564,3.1185398,1.2021493,-1.9303687,1.2289423,-0.95693374,1.2450018,4.2248664,-3.705888,0.01320526,-1.5814165,0.23080748,0.2778248,-2.6559656,0.93149066,-0.48687613,-0.49066624,0.37931418,-1.5891256,0.30455396,0.2838086,1.5430903,-1.7885278,-0.5846065,-0.50903887
ACH-000457,8.408118,7.907698,-10.055608,-6.882792,-5.510805,2.7345278,3.6505363,-4.0373015,5.041417,5.5837746,2.1077075,2.5021324,1.8266991,3.4341042,-1.9515812,1.2260838,-3.0219636,-1.8922424,-4.7498164,2.0260289,-5.351395,1.3358427,1.1134083,-9.952341,-0.2769258,-1.3528682,-6.42447,1.7367264,-0.6906821,-0.7344862,1.9055085,-6.540076,-5.6830034,-0.59738916,0.26850024,2.4988635,0.76403195,-3.9831202,-1.884637,1.1901869,3.0674112,2.590011,-1.5719036,-0.17738448,1.0458834,-0.78381735,-4.537864,0.6780739,-6.4055953,-2.8234568,0.6045089,0.09645359,3.1908371,6.9023976,-6.686115,0.57310426,0.64268893,1.4927635,1.2195026,1.9754441,-2.2756734,-1.434008,0.93948954,-0.70022476,-0.18609563,4.873855,-2.869468,-3.973051,-3.6385486,7.756863,-2.376679,4.6346703,-0.4932664,0.0565748,0.49611557,-1.4290195,0.28359473,-3.077705,-3.5418403,-0.85074127,-2.2402937,-0.20397007,4.354403,-0.9111526,-1.2159724,-0.08421612,4.2704897,2.0734735
ACH-000244,1.498769,3.079422,-3.2761445,-5.943034,-0.5573118,1.0717776,3.087863,-3.716852,1.5703925,2.5994215,6.2078567,-3.101783,-0.07957615,4.4208064,-0.8938357,-2.0226922,4.624758,-1.0006984,6.802553,2.9366853,1.4085877,1.8376988,-0.8868425,1.7399921,-1.4155116,1.1884257,-8.380696,-2.396128,6.775845,1.0578676,1.0580323,-2.3017251,-4.4831038,0.78694385,2.1210215,-1.037724,3.285274,-3.1243536,-3.8502254,0.16639729,12.393149,-1.1538767,8.496595,0.11599061,-1.0824147,3.072169,-1.4622457,5.8297706,4.5649357,-2.620161,4.7888947,5.4942484,-2.6595743,1.8360403,0.13910256,1.1216267,-0.03157533,5.6484976,-4.119865,-1.4695933,-0.56180274,-4.5018845,1.0248872,4.2661633,-2.5774162,1.1033515,-1.0333426,-8.076066,3.9742296,-0.35653576,1.713392,10.296057,-2.199892,-0.8116617,0.9692806,-0.3344769,0.556106,-6.0725713,2.2435431,-2.1729338,-1.4016412,-3.2505684,5.0774684,0.5551654,-3.375731,-0.7997625,1.3866038,0.9787821
ACH-000081,6.6308894,-4.8055196,-9.389717,0.90456426,-5.0693955,-4.3666615,-3.1184096,-0.07625495,-7.1053205,-0.39659923,2.0481205,0.11946691,6.4789643,1.2064846,1.8140521,-1.4176029,0.8045608,3.1792133,-5.9735217,8.03553,-1.3741024,-0.7215403,1.1622213,-5.826076,3.2424703,3.4538026,5.1108837,-3.0649166,4.542944,-0.4454806,6.996998,2.706446,-5.157347,4.557192,9.428846,-1.7803146,-10.511385,-1.8749272,-1.3078238,-1.7227789,-1.2395512,1.0863396,8.000396,-0.5738573,0.6679455,-1.4733727,3.074714,6.682893,5.313905,0.15944026,1.0956779,1.9889685,1.22237,6.877906,2.5983725,4.621794,4.378114,4.3945746,-0.34712163,-3.1762476,-1.4064274,-6.8986773,1.5762652,-0.08277454,-4.6885962,-6.0535007,4.726245,4.246617,1.4683173,2.7207623,-0.27834845,-2.0654953,-1.6748495,0.8212093,0.24337241,2.4598043,-1.3953667,-1.5801011,-0.64719313,2.0050771,1.8431518,0.9406946,0.11200073,0.14274672,-2.688635,-0.12640965,1.8989685,2.2733226
ACH-000352,-3.6866777,-1.7163922,-6.083011,0.5381746,-5.7709637,0.576231,-0.60256046,0.6614812,-7.0749345,3.756257,-3.3066032,4.0313873,4.544054,-2.8135142,-3.0829012,-7.3542404,-4.6664333,-2.2279103,0.09554683,-0.13617164,-1.8636638,-2.7607398,4.5857244,-0.5618054,1.3268152,1.103512,5.637431,-2.9195967,4.7665367,-7.5797997,-2.69538,-3.5355473,-1.1447908,3.288697,-4.4560423,-6.7598214,3.5233295,-4.1622806,-2.5578022,1.01545,-1.1527952,-5.87483,-3.736363,4.781468,2.5948868,-1.9296459,-0.40412986,-6.0418234,3.1256025,-2.407259,-3.3786333,-1.1072892,-3.364218,2.8722043,-0.7924865,0.76420397,2.5893664,0.8907963,4.96981,1.2379541,2.1611993,-0.15619332,0.5831531,-0.12134103,1.9259934,0.009216228,-2.183583,-1.7650018,-7.914342,3.5473514,-2.3076522,-1.7180992,-1.8598304,-0.2397226,0.020168513,-0.5166751,-1.2958994,2.693867,-0.51425534,0.7672291,3.8728423,-1.9849789,2.445128,-1.5578914,-0.21987349,-1.2200005,0.62121224,0.22655311
ACH-000752,1.5132698,4.9986005,-5.8754373,-1.1928205,-1.0871425,-1.9261718,-1.7691344,0.14507905,-0.6663091,0.11746947,2.633656,0.57206774,-4.988727,-1.8847544,0.59790504,-1.4287865,5.465991,-0.3288795,8.381643,-5.3024993,2.7355483,2.3373911,7.0398064,6.2120132,2.150843,3.780604,-8.233326,-0.51677823,9.757863,0.36118606,-4.025798,-2.9020772,-5.040392,1.0351163,-2.1058145,-3.1065874,0.16687177,-7.4503016,-2.6220486,2.1500676,14.1736965,-2.5456822,14.635367,3.583285,-5.9203534,1.814566,-5.280203,3.0238087,3.8823621,0.9793962,6.169678,6.4152846,-2.9488022,5.627372,0.34496945,7.8848066,-2.106626,1.0865295,-5.575215,4.3942795,3.9553108,-5.5829372,1.0394717,6.183666,-6.184512,0.55938584,-2.901979,-10.581453,-0.53812855,-5.6996093,2.7507799,5.8928924,-2.723512,-2.8214629,2.1062796,2.2938852,1.1277161,-4.266379,2.9024174,-0.99694204,1.4009019,-4.474384,3.272974,0.9952982,-1.4174559,-0.75937456,-0.22675431,-1.4205935
